source,url_annonce,type_bien,prix,date_insertion,gouvernorat,delegation,localite,code_postal,superficie,titre_foncier,vue_mer,terrain_viabilise,constructible,dimensions_terrain,facade,acces_route,acces_electricite,acces_eau,vocation
diarkoum,https://diarkoum.tn/details.php?id_annonce=14095,Terrain,60000,2024-07-22,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14093,Terrain,60000,2024-07-22,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14091,Terrain,60000,2024-07-22,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14089,Terrain,60000,2024-07-22,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14086,Terrain,60000,2024-07-22,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14083,Terrain,60000,2024-07-22,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14082,Terrain,60000,2024-07-22,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14081,Terrain,60000,2024-07-21,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14080,Terrain,60000,2024-07-21,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14079,Terrain,60000,2024-07-21,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14078,Terrain,60000,2024-07-21,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14077,Terrain,60000,2024-07-21,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14076,Terrain,60000,2024-07-21,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14075,Terrain,60000,2024-07-21,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14072,Terrain,60000,2024-07-20,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14070,Terrain,60000,2024-07-20,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14067,Terrain,60000,2024-07-20,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14064,Terrain,60000,2024-07-20,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14063,Terrain,60000,2024-07-20,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14062,Terrain,60000,2024-07-20,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14057,Terrain,60000,2024-07-19,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14054,Terrain,60000,2024-07-19,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14053,Terrain,60000,2024-07-19,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14049,Terrain,60000,2024-07-19,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14048,Terrain,60000,2024-07-19,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14047,Terrain,60000,2024-07-19,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14042,Terrain,60000,2024-07-18,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14040,Terrain,60000,2024-07-18,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14037,Terrain,60000,2024-07-18,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14034,Terrain,60000,2024-07-18,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14033,Terrain,60000,2024-07-18,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14032,Terrain,60000,2024-07-18,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14027,Terrain,60000,2024-07-17,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14024,Terrain,60000,2024-07-17,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14020,Terrain,60000,2024-07-17,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14018,Terrain,60000,2024-07-17,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14014,Terrain,60000,2024-07-17,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14012,Terrain,60000,2024-07-17,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14011,Terrain,60000,2024-07-17,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=13997,Terrain,60000,2024-07-15,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=13996,Terrain,60000,2024-07-15,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
